food,unit,kcal,protein,carb,fat,source
低脂強化鮮乳(寡醣強化),100 g,46.0,3.1,5.5,1.3,TFDA
低脂強化鮮乳(維生素E強化),100 g,41.0,3.0,4.2,1.3,TFDA
低脂濃稠發酵乳,100 g,73.0,2.3,13.6,1.1,TFDA
低脂調味乳(木瓜),100 g,61.0,1.8,10.5,1.3,TFDA
低脂高湯,100 g,2.0,0.3,0.3,0.0,TFDA
低脂鮮乳,100 g,43.0,3.3,5.0,1.1,TFDA
低鈉鹽,100 g,11.0,0.0,2.8,0.0,TFDA
保久米漿,100 g,62.0,1.0,11.3,1.5,TFDA
保久羊乳,100 g,59.0,3.0,4.5,3.3,TFDA
假人蔘,100 g,32.0,1.6,2.2,2.2,TFDA
傳統豆腐,100 g,88.0,8.5,6.0,3.4,TFDA
傳統豆腐(2022年取樣),100 g,96.0,9.6,1.9,5.5,TFDA
傳統豆花(未加糖),100 g,39.0,3.2,2.1,1.9,TFDA
僧帽肌,100 g,209.0,20.4,0.0,13.5,TFDA
克氏兔頭魨,100 g,77.0,17.8,0.0,0.1,TFDA
免煮飯,100 g,168.0,3.2,37.1,0.3,TFDA
全脂保久乳,100 g,62.0,3.0,5.1,3.4,TFDA
全脂凝態發酵乳,100 g,97.0,3.1,13.6,3.3,TFDA
全脂奶粉,100 g,504.0,26.4,37.0,28.2,TFDA
全脂強化奶粉(纖維強化),100 g,500.0,25.6,39.5,27.0,TFDA
全脂濃稠發酵乳,100 g,90.0,4.1,11.3,3.2,TFDA
全脂羊奶粉,100 g,510.0,26.7,34.8,29.8,TFDA
全脂羊奶粉(即溶),100 g,517.0,25.9,35.1,30.8,TFDA
全脂鮮乳(10月取樣),100 g,64.0,3.0,4.8,3.7,TFDA
全脂鮮乳(11月取樣),100 g,62.0,3.1,4.6,3.5,TFDA
全脂鮮乳(12月取樣),100 g,64.0,3.2,5.2,3.4,TFDA
全脂鮮乳(1月取樣),100 g,62.0,2.9,4.7,3.6,TFDA
全脂鮮乳(4月取樣),100 g,62.0,2.9,4.6,3.6,TFDA
全脂鮮乳(6月取樣),100 g,63.0,3.2,4.6,3.6,TFDA
全脂鮮乳(7月取樣),100 g,65.0,3.7,4.2,3.7,TFDA
全脂鮮乳(9月取樣),100 g,64.0,2.8,5.3,3.6,TFDA
全脂鮮乳平均值,100 g,63.0,3.1,4.8,3.6,TFDA
全麥麵粉,100 g,359.0,13.0,71.4,1.7,TFDA
八角,100 g,360.0,4.9,76.2,3.9,TFDA
冬瓜,100 g,13.0,0.4,2.7,0.1,TFDA
冬瓜(2022年取樣),100 g,21.0,0.4,5.1,0.0,TFDA
冬瓜平均值,100 g,11.0,0.4,2.4,0.1,TFDA
冬瓜糖磚,100 g,360.0,,93.1,,TFDA
冬瓜茶,100 g,33.0,0.0,8.3,,TFDA
冬粉,100 g,351.0,0.1,87.5,0.1,TFDA
